Plant Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Big Saltbush (Atriplex lentiformis),Shrub,"3.3 - 10 ft tall
10 ft wide","Upright, Mounding, Rounded","Fast, Moderate",Evergreen,"Yellow, Brown",Summer,"Various butterflies and birds, especially quail and thrashers","Western Pygmy Blue
Brephidium exilis

MacNeill's Sootywing
Hesperopsis gracielae

*
Common Sootywing
Pholisora catullus

*
Mohave Sootywing
Hesperopsis libya

*
San Emigdio Blue
Plebejus emigdionis

*
White-lined Sphinx
Hyles lineata","Western Pygmy Blue
Brephidium exilis","MacNeill's Sootywing
Hesperopsis gracielae","Common Sootywing
Pholisora catullus","Mohave Sootywing
Hesperopsis libya","San Emigdio Blue
Plebejus emigdionis","White-lined Sphinx
Hyles lineata",,Full Sun,Low,Max 2x / month once established,Carried by 44,Very Easy,Tolerates cold to 15° F,Medium,"Tolerates a variety of soils, especially alkaline. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 7.0 - 9.0","Bank Stabilization, Hedges, Butterfly Gardens, Bird Gardens","This plant is not often used in small residential gardens but is very useful on larger acreage and in restoration projects, especially where the soil is alkaline and there is subsurface water. Use with native grasses such as Deer Grass (Muhlenbergia sp.), Arrow Weed (Pluchea sericea), Mesquite (Prosopis glandulosa or pubescens), Desert Thorn (Lycium sp.), Alkali Goldenbush (Isocoma acradenia), and willows (Salix sp.).","Alkaline or saline washes, dry lakes, alkali sinks, and shadscale scrub; also sometimes found in grasslands or coastal sage scrub","Annual Precipitation: 2.5"" - 38.1"", Summer Precipitation: 0.12"" - 1.77"", Coldest Month: 33.8"" - 63.3"", Hottest Month: 62.6"" - 89.6"", Humidity: 0.91"" - 43.88"", Elevation: -230"" - 6825""","Common Names: Quail Bush, Quailbush",,,,
coyote bush (Baccharis pilularis),Shrub,"1.5 - 10 ft tall
12 ft wide","Mounding, Spreading","Fast, Moderate",Evergreen,None,"Yellow, Cream, White","Spring, Winter, Summer, Fall","Very attractive to insects, especially when in flower. It is common to find wasp galls on leaves.","Coyote Brush Gall Moth
Gnorimoschema baccharisella

Orange Tortrix Moth
Argyrotaenia franciscana

Bucculatrix variabilis

Tamarack Looper
Eupithecia misturata

Prochoerodes truxaliata

Aristotelia argentifera","Coyote Brush Gall Moth
Gnorimoschema baccharisella","Orange Tortrix Moth
Argyrotaenia franciscana",Bucculatrix variabilis,"Tamarack Looper
Eupithecia misturata",Prochoerodes truxaliata,Aristotelia argentifera,,"Full Sun, Part Shade","Very Low, Low",Max 1x / week once established,Carried by 72,Very Easy,"Fast, Medium, Slow","Tolerant of a variety of soils including sand, clay and alkaline. Soil PH: 5.0 - 8.0","Bank Stabilization, Groundcovers, Hedges, Butterfly Gardens, Deer Resistant, Bird Gardens, Bee Gardens","Good with oaks, Toyon, Coffeeberry species, Manzanita species, Ceanothus species, sages, and most other chaparral species",The upright form can be pruned to be tree-like if desired. The ground cover forms should be pruned annually if a neat appearance is desired. Some may even be mowed.,"Nursery plants are usually male clones to avoid the fluffy plumes which some people may be allergic to. If you have both male and female plants in close proximity, you will get seedlings.  For propagating by seed: No treatment.","5*, 7, 8, 9, 14*, 15*, 16*, 17*, 18, 19*, 20*, 21*, 22*, 23*, 24*","Bluffs, hills, foothills and flats as a component of chaparral or coastal sage scrub","Annual Precipitation: 3.6"" - 123.6"", Summer Precipitation: 0.15"" - 3.72"", Coldest Month: 39.7"" - 59.0"", Hottest Month: 56.7"" - 87.9"", Humidity: 0.01"" - 38.93"", Elevation: -152"" - 6046""",Common Names: Coyotebrush,
Box Elder (Acer negundo),Tree,"35 - 66 ft tall
40 ft wide",Upright,Fast,Winter Deciduous,"White, Cream","Spring, Winter",Attractive to many beneficial insects,"Polyphemus moth
Antheraea polyphemus

Speckled Green Fruitworm Moth
Orthosia hibisci

Manto Tussock Moth
Orgyia antiqua

Spotted Tussock Moth
Lophocampa maculata

Virginian Tiger Moth
Spilosoma virginica

Fruit-Tree Leafroller Moth
Archips argyrospila","Polyphemus moth
Antheraea polyphemus","Speckled Green Fruitworm Moth
Orthosia hibisci","Manto Tussock Moth
Orgyia antiqua","Spotted Tussock Moth
Lophocampa maculata","Virginian Tiger Moth
Spilosoma virginica","Fruit-Tree Leafroller Moth
Archips argyrospila",,"Part Shade, Full Sun",Moderate - High,Max 1x / week once established,Carried by 31,Moderately Easy,Tolerates cold to -15° F,"Medium, Slow",Tolerates a variety of soils as long as adequate moisture is present. Soil PH: 5.0 - 8.0,"Bird Gardens, Deer Resistant, Butterfly Gardens","Use with other riparian trees such as Maples (other Acer sp.), Alders (Alnus sp.), Dogwoods (Cornus sp.), Ash (Fraxinus latifolia or velutina), Northern Black Walnut (Juglans hindsii), Cottonwood (Populus sp.), Sycamore (Platanus racemosa), Willows (Salix sp.), Black Elderberry (Sambucus nigra), and Bay Laurel (Umbellularia californica)",For propagating by seed: Scarification and 2-3 mos. stratification; use fresh seeds.,"1, 2, 3, 4*, 5*, 6*, 7*, 8*, 9*, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","River/stream edges and wet places in coastal mountains and the central valley, usually as part of a woodland or forest complex","Annual Precipitation: 5.4"" - 63.5"", Summer Precipitation: 0.14"" - 2.62"", Coldest Month: 28.8"" - 55.2"", Hottest Month: 56.0"" - 79.6"", Humidity: 0.14"" - 27.71"", Elevation: 3"" - 7419""","Botanical Names: Acer negundo var. californicum
Common Names: Ashleaf Maple, Boxelder Maple, California Boxelder, Manitoba Maple, Maple Ash",,
bush monkey flower (Diplacus aurantiacus),Shrub,"3.9 - 5 ft tall
5 ft wide","Mounding, Spreading",Moderate,Evergreen,None,"Orange, Yellow","Winter, Spring, Summer","Hummingbirds, insects","Variable Checkerspot
Euphydryas chalcedona

*
Common Buckeye
Junonia coenia

*
Mylitta Crescent
Phyciodes mylitta

*
Edith's Checkerspot
Euphydryas editha

*
White-lined Sphinx
Hyles lineata

*
Bilobed Looper Moth
Megalographa biloba","Variable Checkerspot
Euphydryas chalcedona","Common Buckeye
Junonia coenia","Mylitta Crescent
Phyciodes mylitta","Edith's Checkerspot
Euphydryas editha","White-lined Sphinx
Hyles lineata","Bilobed Looper Moth
Megalographa biloba",,"Part Shade, Full Sun","Very Low, Low","Max 1x / month once established, Max 2x / month once established",Carried by 83,Tolerates cold to 15° F,"Fast, Medium",Tolerant of difficult soils if adequate drainage is provided. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0,"Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Due to its occurrence in many habitats, Sticky Monkeyflower is associated with hundreds of other plants",Deadhead to increase flower production. Pinch back new growth in spring to maintain more compact form.,From seed or cuttings,"4, 5, 7*, 8, 9, 14*, 15*, 16*, 17*, 18, 19*, 20*, 21*, 22*, 23*, 24*","Rocky or sandy hillsides, cliffs, canyon slopes, disturbed places in a wide variety of vegetation communities including Chaparral, Coastal Scrub, Pine Forest, Redwood Forest, Mixed Evergreen Forest, Oak Woodland, Foothill Woodland, and Joshua Tree Woodland","Annual Precipitation: 3.6"" - 117.2"", Summer Precipitation: 0.14"" - 2.71"", Coldest Month: 27.8"" - 57.4"", Hottest Month: 52.8"" - 82.0"", Humidity: 0.01"" - 34.52"", Elevation: -133"" - 8815""","Botanical Names: Mimulus bifidus,Diplacus bifidus,Mimulus aurantiacus",
Scrub Oak (Quercus berberidifolia),"Tree, Shrub","15 - 19.7 ft tall
15 ft wide",Rounded,Slow,Evergreen,None,"Cream, Green, Yellow, Brown","Winter, Spring","Numerous birds, mammals, reptiles and insects. Many insects are attracted to Oaks generally, including the following butterflies which use Oaks as host plant: California Sister, Propertius Duskywing, Mournful Duskywing, Golden Hairstreak, and Gold-Hunter's Hairstreak.","*
Western Tiger Swallowtail
Papilio rutulus

*
Lorquin's Admiral
Limenitis lorquini

*
California Sister
Adelpha californica

*
Propertius Duskywing
Erynnis propertius

*
California Hairstreak
Satyrium californica

*
Golden Hairstreak
Habrodais grunus","Western Tiger Swallowtail
Papilio rutulus","Lorquin's Admiral
Limenitis lorquini","California Sister
Adelpha californica","Propertius Duskywing
Erynnis propertius","California Hairstreak
Satyrium californica","Golden Hairstreak
Habrodais grunus",,"Full Sun, Part Shade",Low,Max 1x / month once established,Carried by 24,Very Easy,Tolerates cold to 20° F,"Fast, Medium",Most often found on eroded granite or sandstone soils. Soil PH: 6.0 - 8.0,"Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens","Toyon, Chamise, Laurel Sumac, Heartleaf Penstemon, White Pitcher Sage, Woolly Bluecurls, Tree Poppy, Ceanothus spp, Manzanita species",By acorns.  For propagating by seed: Fresh seeds sow in fall outdoors or stratify to hold for spring sowing. (USDA Forest Service 1974).,"5, 7*, 8, 9, 10, 14*, 15*, 16*, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Dry slopes, canyons, foothills, marine terraces, from coast to inland, mostly below 5,000 ft from Shasta County to San Diego County and into Baja California, Mexico.","Annual Precipitation: 9.0"" - 70.0"", Summer Precipitation: 0.14"" - 2.95"", Coldest Month: 29.1"" - 55.7"", Hottest Month: 50.4"" - 80.7"", Humidity: 0.58"" - 29.25"", Elevation: -659"" - 8808""",Common Names: Inland Scrub Oak,
Monterey Pine (Pinus radiata),Tree,"49.2 - 196.9 ft tall
15 - 30 ft wide","Upright, Pyramidal, Rounded, Upright Columnar",Fast,Evergreen,Fragrant - Pleasant,"Yellow, Brown, Cream",Winter,,"Monterey Pine Shoot Moth
Exoteleia burkei

Sequoia Pitch Moth
Synanthedon sequoiae

Nantucket Pine Tip Moth
Rhyacionia frustrana

Orange Tortrix Moth
Argyrotaenia franciscana

Gloveria arizonensis

Chionodes abella","Monterey Pine Shoot Moth
Exoteleia burkei","Sequoia Pitch Moth
Synanthedon sequoiae","Nantucket Pine Tip Moth
Rhyacionia frustrana","Orange Tortrix Moth
Argyrotaenia franciscana",Gloveria arizonensis,Chionodes abella,,"Full Sun, Part Shade",Very Low,Max 2x / month once established,Carried by 19,Very Easy,Tolerates cold to 10 - 20° F,Fast,Prefers sand or sandstone. Soil PH: 4 - 7,"Bank Stabilization, Bird Gardens, Butterfly Gardens","Monterey Cypress (Hesperocyparis macrocarpa), Maritime Ceanothus (Ceanothus maritimus), Alumroot (Heuchera micrantha), Twinberry (Lonicera involucrata), Sticky Monkeyflower (Mimulus aurantiacus), Redflower Currant (Ribes sanguineum),","90% of the trees in wild stands in Monterey Country are infected with pine pitch canker, caused by caused by Fusarium circinatum, a fungal disease.. Prune in winter when wood boring insects are less active.",For propagating by seed: Fresh seeds need no treatment; 1wk. stratification may improve germination. Stored seeds 1-3 wks. stratification may improve germination (USDA Forest Service 1974).,"Coastal bluffs and dunes, in the coastal fog belt","Annual Precipitation: 12.4"" - 81.3"", Summer Precipitation: 0.15"" - 1.60"", Coldest Month: 42.3"" - 56.4"", Hottest Month: 58.2"" - 72.4"", Humidity: 0.01"" - 18.81"", Elevation: 7"" - 3288""","Common Names: Insignis Pine, Pino Quebradizo",
Mulefat (Baccharis salicifolia),Shrub,"6 - 12 ft tall
3 - 9 ft wide","Upright, Rounded, Upright Columnar",Fast,"Evergreen, Summer Semi-Deciduous",Slight,"Pink, White, Yellow","Spring, Winter, Summer, Fall",This is an important butterfly and bee plant. Also attracts other beneficial insects,"Fatal Metalmark
Calephelis nemesis

Mousy Plume Moth
Lioptilodes albistriolatus

*
Gabb's Checkerspot
Chlosyne gabbii

*
White-lined Sphinx
Hyles lineata

*
Coyote Brush Gall Moth
Gnorimoschema baccharisella

*
Salt Marsh Moth or Acrea Moth
Estigmene acrea","Fatal Metalmark
Calephelis nemesis","Mousy Plume Moth
Lioptilodes albistriolatus","Gabb's Checkerspot
Chlosyne gabbii","White-lined Sphinx
Hyles lineata","Coyote Brush Gall Moth
Gnorimoschema baccharisella","Salt Marsh Moth or Acrea Moth
Estigmene acrea",,Full Sun,Low,Max 1x / week once established,Carried by 43,Very Easy,Tolerates cold to -10 - 0° F,"Fast, Medium, Slow, Standing","Heavier riparian soils, sandy washes. Soil PH: 6 - 9","Hedges, Butterfly Gardens, Bird Gardens, Bee Gardens","Red WIllow, Black Willow, Sandbar Willow","This plant can be pruned as desired. If can be cut down to just a few inches above the ground if it's looking dead and weedy, and will grow back nicely.","sandy washes, streambanks, valley grasslands","Annual Precipitation: 2.5"" - 56.9"", Summer Precipitation: 0.14"" - 2.39"", Coldest Month: 39.2"" - 61.4"", Hottest Month: 59.8"" - 89.6"", Humidity: 0.09"" - 47.01"", Elevation: -227"" - 6779""","Botanical Names: Baccharis viminea
Common Names: Mule Fat, Mule's Fat, Mule-fat, Seep Willow, Seepwillow Baccharis, Water-wally",,
Malva Rosa (Malva assurgentiflora),Shrub,"3.3 - 13 ft tall
5 - 10 ft wide","Mounding, Rounded",Fast,Evergreen,Fragrant - Pleasant,"Pink, Purple, Red","Winter, Spring, Summer",Attracts many species of butterflies,"*
Painted Lady
Vanessa cardui

*
Gray Hairstreak
Strymon melinus

*
Common Checkered-Skipper
Pyrgus communis

*
Northern White-Skipper
Heliopetes ericetorum

*
West Coast Lady
Vanessa annabella

*
White Checkered-Skipper
Pyrgus albescens","Painted Lady
Vanessa cardui","Gray Hairstreak
Strymon melinus","Common Checkered-Skipper
Pyrgus communis","Northern White-Skipper
Heliopetes ericetorum","West Coast Lady
Vanessa annabella","White Checkered-Skipper
Pyrgus albescens",,Full Sun,Very Low,Max 2x / month once established,Carried by 38,Very Easy,Tolerates cold to 20 - 30° F,"Fast, Medium, Slow",Adaptable. Tolerates Serpentine Soil. Soil PH: 5 - 8,"Hedges, Hummingbird Gardens, Bird Gardens, Butterfly Gardens","Giant Coreopsis, Island Bristleweed, Greene's Liveforever, Santa Cruz Island Liveforever, Santa Cruz Island Dandelion, Island Broom",For propagating by seed: No treatment. Germination of ten poor.,Coastal bluffs,"Annual Precipitation: 7.8"" - 31.3"", Summer Precipitation: 0.15"" - 0.43"", Coldest Month: 44.7"" - 57.4"", Hottest Month: 60.1"" - 78.0"", Humidity: 0.88"" - 23.46"", Elevation: -140"" - 1515""","Botanical Names: Lavatera Assurgentiflora,Lavatera assurgentiflora ssp. glabra,Lavatera assurgentiflora ssp. assurgentiflora
Common Names: Island Mallow",,
Bush Poppy (Dendromecon rigida),Shrub,"3 - 10 ft tall
2 - 8 ft wide",Rounded,"Fast, Moderate",Evergreen,Slight,Yellow,"Winter, Spring","Bees, butterflies, many beneficial insects","Neoterpes edwardsata

*
White-lined Sphinx
Hyles lineata",Neoterpes edwardsata,"White-lined Sphinx
Hyles lineata",Full Sun,Very Low,Max 1x / month once established,Carried by 31,Tolerates cold to 0 - 10° F,Fast,"Well drained soils, typically on a slope. Tolerant of clay only if given no water after established.. Tolerates Serpentine Soil. Soil PH: 6 - 8","Eastwood Manzanita (Arctostaphylos glandulosa ssp. glandulosa), Bigberry Manzanita (Arctostaphylos glauca)","Can handle light trimming after blooming but does not tolerate a heavy pruning. Interestingly though, it is very fire-resistant, and is considered a ""fire follower"", resprouting from the base after the top growth has been completely burnt down from a wildfire.",For propagating by seed: Fire treatment or 2 mos. stratification (Emery and Frey 1971). 3 mos. stratification with a diurnal fluctuation from 46° to 70°F may improve germination. More easily propagated from stem cuttings in winter with intermittent mist and bottom heat.,"4, 5, 6, 7*, 8*, 9*, 10, 11, 12, 14*, 15*, 16*, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24*",Dry slopes and flats in chaparral and openings in mixed evergreen forest.,"Annual Precipitation: 4.9"" - 74.9"", Summer Precipitation: 0.14"" - 2.78"", Coldest Month: 24.3"" - 57.3"", Hottest Month: 45.6"" - 84.4"", Humidity: 0.47"" - 35.52"", Elevation: 7"" - 9624""",Common Names: Tree Poppy,,,,,,,
Bush Sunflower (Encelia californica),Shrub,"1.6 - 5 ft tall
3 - 7 ft wide","Mounding, Rounded",Fast,"Summer Semi-Deciduous,","Fragrant - Pleasant, Slight","Brown, Purple, Yellow","Winter, Spring","Numerous insects are attracted to the flowers, including butterflies and bees. Small birds such as goldfinches are attracted to the seed heads.","Fatal Metalmark
Calephelis nemesis

Dwarf Tawny Wave
Cyclophora nanaria

*
White-lined Sphinx
Hyles lineata

*
Orange Tortrix Moth
Argyrotaenia franciscana","Fatal Metalmark
Calephelis nemesis","Dwarf Tawny Wave
Cyclophora nanaria","White-lined Sphinx
Hyles lineata","Orange Tortrix Moth
Argyrotaenia franciscana","Part Shade, Full Sun",Very Low,Max 1x / week once established,Carried by 52,Very Easy,Tolerates cold to 30° F,"Fast, Medium, Slow",Tolerates a wide variety of soils. Tolerates Sodic Soil. Soil PH: 6 - 8,"Groundcovers, Bank Stabilization, Bird Gardens, Butterfly Gardens, Bee Gardens","Ceanothus tomentosus, California Sagebrush, Sugar Sumac, Lemonade Sumac, Coyote Broom, Chaparral Mallow, Sagebrush (Artemisia), Black Sage, White Sage, Chamise, Coyote Brush, California Buckwheat, Sticky Monkeyflower, Woolly Bluecurls, Scrub Oaks, Toyon, Dudleya spp, Yucca spp, various cactus species","No pest problems.. After it goes semi-deciduous in the summer, this plant can be cut to the ground and will come back nicely. Because of its tendency to sprawl or become floppy, it can also be pruned after flowering to encourage more flowers and more compact growth","By seeds (this plant self-seeds readily), softwood cuttings","7, 8, 9, 10, 11, 12, 14*, 15, 16, 18, 19*, 20*, 21*, 22*, 23*, 24*,","Slopes, bluffs, foothills and canyons primarily on the coastal side of the mountains from San Luis Obispo County to San Diego County and into northwestern Baja. Typically found on drier, south or west facing slopes as part of coastal sage scrub.","Annual Precipitation: 4.4"" - 35.5"", Summer Precipitation: 0.15"" - 2.65"", Coldest Month: 39.9"" - 61.4"", Hottest Month: 62.5"" - 88.8"", Humidity: 0.82"" - 42.79"", Elevation: -1648"" - 5439""","Common Names: California Brittlebush, California Encelia",,,
Sea Cliff Buckwheat (Eriogonum parvifolium),Shrub,"1 - 3.3 ft tall
2 - 3 ft wide","Mounding, Spreading",Moderate,Evergreen,Slight,"Pink, Red, White, Yellow, Green","Winter, Spring, Summer, Fall","Butterflies, bees, other pollinators. Particularly important butterfly plant.","Gray Hairstreak
Strymon melinus

Acmon Blue
Icaricia acmon

Square-spotted Blue
Euphilotes battoides

Dotted Blue
Euphilotes enoptes

Bernardino Blue
Euphilotes bernardino

Buckwheat Borer Moth
Synanthedon polygoni","Gray Hairstreak
Strymon melinus","Acmon Blue
Icaricia acmon","Square-spotted Blue
Euphilotes battoides","Dotted Blue
Euphilotes enoptes","Bernardino Blue
Euphilotes bernardino","Buckwheat Borer Moth
Synanthedon polygoni",,"Part Shade, Full Sun",Very Low,Max 1x / month once established,Carried by 44,Very Easy,Tolerates cold to 0 - 10° F,"Fast, Medium","Sandy rocky soils, sandstone. Soil PH: 5 - 8","Bank Stabilization, Groundcovers, Bird Gardens, Butterfly Gardens, Bee Gardens","Giant Coreopsis, Chalk Dudleya, White Sage, Coastal Agave, White Coast Ceanothus, California Buckwheat, Seaside Fleabane,Coast Eriogonum",For propagating by seed: No treatment.,"5, 14, 15*, 16*, 17*, 21, 22, 23, 24*",Dunes and bluffs,"Annual Precipitation: 9.6"" - 45.5"", Summer Precipitation: 0.16"" - 0.76"", Coldest Month: 41.0"" - 56.7"", Hottest Month: 58.0"" - 77.4"", Humidity: 0.47"" - 25.87"", Elevation: -217"" - 4469""","Common Names: Coast Buckwheat, Dune Buckwheat, Dune Eriogonum, Sea-cliff Buckwheat, Seacliff Buckwheat",
Purple Sage (Salvia leucophylla),Shrub,"2 - 5 ft tall
3 - 10 ft wide","Mounding, Rounded, Spreading",Fast,"Evergreen, Summer Semi-Deciduous",Fragrant - Pleasant,"Purple, Lavender, Pink","Spring, Summer","Bees, hummingbirds, other pollinators","Alfalfa Looper Moth
Autographa californica

*
White-lined Sphinx
Hyles lineata

*
Bilobed Looper Moth
Megalographa biloba

*
Virginian Tiger Moth
Spilosoma virginica

*
Wavy-Lined Emerald
Synchlora aerata

*
Hawaiian Beet Webworm
Spoladea recurvalis","Alfalfa Looper Moth
Autographa californica","White-lined Sphinx
Hyles lineata","Bilobed Looper Moth
Megalographa biloba","Virginian Tiger Moth
Spilosoma virginica","Wavy-Lined Emerald
Synchlora aerata","Hawaiian Beet Webworm
Spoladea recurvalis",,Full Sun,"Extremely Low, Very Low",Max 2x / month once established,Carried by 70,Very Easy,Tolerates cold to 0 - 10° F,"Fast, Medium",Variable. Soil PH: 5 - 8,"Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cleveland Sage, California Buckwheat, Lemonade Berry",For propagating by seed: No treatment.,"8, 9, 14*, 15*, 16*, 17*, 19*, 20*, 21*, 22*, 23*, 24*",Dry open slopes,"Annual Precipitation: 7.4"" - 37.3"", Summer Precipitation: 0.14"" - 1.43"", Coldest Month: 40.5"" - 56.1"", Hottest Month: 62.3"" - 80.3"", Humidity: 0.72"" - 27.58"", Elevation: 11"" - 5843""",Common Names: San Luis Purple Sage,
California poppy (Eschscholzia californica),"Annual herb, Perennial herb","0.16 - 2 ft tall
1 - 2 ft wide","Upright, Mounding, Rounded","Fast, Moderate",Summer Deciduous,Slight,"Orange, Yellow","Spring, Winter, Summer, Fall","Birds, small herbivores, butterflies, bees, other pollinators.","Acmon Blue
Icaricia acmon

Mormon Metalmark
Apodemia mormo

Dotted Blue
Euphilotes enoptes

Veined Blue
Icaricia neurona

Buckwheat Borer Moth
Synanthedon polygoni

*
White-lined Sphinx
Hyles lineata","Acmon Blue
Icaricia acmon","Mormon Metalmark
Apodemia mormo","Dotted Blue
Euphilotes enoptes","Veined Blue
Icaricia neurona","Buckwheat Borer Moth
Synanthedon polygoni","White-lined Sphinx
Hyles lineata",,Full Sun,"Very Low, Low",Max 2x / month once established,Carried by 71,Very Easy,Tolerates cold to 10 - 20° F,"Fast, Medium, Slow","Prefers sandy, infertile, well-drained soils.. Soil PH: 5 - 8","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Lupinus species, Phacelia species, Clarkia species, Abronia species, Calfornia Buckwheat, White Sage, Chinese Houses, California Fuschia","Rabbits and other small herbivores eat this plant, but it grows back so quickly that they are not much of a problem.. Best to cut down to the ground after the plant goes summer deciduous. Sometimes plants will last through the summer and come back when the rainy season begins, especially in milder climates.","Easily grown from seed, and readily reseeds. Can be invasive.  For propagating by seed: No treatment. Seeds can be hand collected from the seed pods the plant produces after the flower's petals fall off. The seeds are ready to take when the pods become dry and brown. This plant propagates itself by the design of the seed pods which burst open with a impressive amount of force. To plant yourself-simply take the seeds and throw them in the desired area and allow the rains to water them. Do not cover with soil or mulch. Watering is helpful until plants are established.","1, 2, 3, 4, 5, 6*, 7*, 8*, 9*, 10*, 11*, 12*, 13, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Open, grassy places","Annual Precipitation: 3.3"" - 108.1"", Summer Precipitation: 0.13"" - 3.08"", Coldest Month: 24.6"" - 61.4"", Hottest Month: 45.5"" - 88.4"", Humidity: 0.01"" - 42.13"", Elevation: -10"" - 11310""",
California Sagebrush (Artemisia californica),Shrub,"1 - 8 ft tall
4 ft wide","Mounding, Rounded, Spreading",Fast,Summer Deciduous,Fragrant - Pleasant,"Cream, White, Yellow","Spring, Summer, Fall","California Gnatcatcher, Quail, various other birds, insects","Pero macdunnoughi

Plataea personaria

Aseptis susquesa

Eupithecia acutipennis

Miodera stigmata

*
Painted Lady
Vanessa cardui",Pero macdunnoughi,Plataea personaria,Aseptis susquesa,Eupithecia acutipennis,Miodera stigmata,"Painted Lady
Vanessa cardui",,Full Sun,"Extremely Low, Very Low",Max 1x / month once established,Carried by 76,Very Easy,Tolerates cold to 20° F,"Fast, Medium, Slow","Usually found on very dry slopes or sandy soil with low nutrient content, although it is also said to tolerate clay. Soil PH: 5.0 - 8.0","Bank Stabilization, Groundcovers, Butterfly Gardens, Deer Resistant, Bird Gardens","Black Sage, White Sage, California Encelia, Chamise, Coyote Brush, California Buckwheat, Sticky Monkeyflower, Woolly Bluecurls, Scrub Oaks, Toyon, Lemonadeberry, Yucca spp, various cactus species","7, 8, 9, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Dry slopes and flats, often south facing.","Annual Precipitation: 3.4"" - 63.5"", Summer Precipitation: 0.14"" - 1.67"", Coldest Month: 39.8"" - 59.4"", Hottest Month: 57.7"" - 87.8"", Humidity: 0.29"" - 38.63"", Elevation: -22"" - 4748""","Common Names: Coast Sagebrush, Coastal Sage Brush, Coastal Sagebrush",,
California Wildrose (Rosa californica),Shrub,"8 - 10 ft tall
10 ft wide","Rounded, Mounding, Spreading","Moderate, Fast",Winter Deciduous,Fragrant - Pleasant,"Red, Pink, White","Summer, Spring","Bees, butterflies and birds","Gray Hairstreak
Strymon melinus

Acleris keiferi

*
Variable Checkerspot
Euphydryas chalcedona

*
Hoary Comma
Polygonia gracilis

*
White-lined Sphinx
Hyles lineata

*
Polyphemus moth
Antheraea polyphemus","Gray Hairstreak
Strymon melinus",Acleris keiferi,"Variable Checkerspot
Euphydryas chalcedona","Hoary Comma
Polygonia gracilis","White-lined Sphinx
Hyles lineata","Polyphemus moth
Antheraea polyphemus",,"Full Sun, Part Shade, Full Shade","Low, Moderate - High",Max 3x / month once established,Carried by 73,Very Easy,Tolerates cold to -10° F,"Medium, Slow",Tolerates clay but does best in moist loamy soil. Soil PH: 5.0 - 8.0,"Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Meadow Rue (Thalictrum fendleri), Snowdrop Bush (Styrax officinalis), Common Snowberry (Symphoricarpos albus), Yellow Monkeyflower (Mimulus guttatus), Western Azalea (Rhododendron occidentale), Brown Dogwood (Cornus glabrata) and Huckleberry (Vaccinum ovatum).",It is typically used where it can expand at will and pruning is not needed. If used near a walkway or driveway it may need annual pruning to keep it neat and under control.,"2, 5, 6, 7*, 8*, 9*, 10, 14*, 15*, 16*, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Moist places and streambanks, springs, seeps, seasonal drainages","Annual Precipitation: 5.8"" - 112.6"", Summer Precipitation: 0.14"" - 3.31"", Coldest Month: 28.4"" - 57.0"", Hottest Month: 53.2"" - 80.9"", Humidity: 0.04"" - 29.77"", Elevation: -6"" - 8144""",Common Names: California Wild Rose,
